时间,实际电流
2018/9/17 18:18,48
2018/9/17 18:18,48
2018/9/17 18:18,48
2018/9/17 18:18,47.6
2018/9/17 18:18,47.6
2018/9/17 18:18,47.6
2018/9/17 18:18,47.6
2018/9/17 18:18,47.6
2018/9/17 18:18,47.6
2018/9/17 18:18,47.6
2018/9/17 18:18,47.6
2018/9/17 18:18,48
2018/9/17 18:18,48
2018/9/17 18:18,48
2018/9/17 18:18,48
2018/9/17 18:18,48
2018/9/17 18:18,48
2018/9/17 18:18,48
2018/9/17 18:18,47.6
2018/9/17 18:18,47.6
2018/9/17 18:18,47.6
2018/9/17 18:18,47.6
2018/9/17 18:18,47.6
2018/9/17 18:18,47.6
2018/9/17 18:18,47.6
2018/9/17 18:18,47.6
2018/9/17 18:19,47.6
2018/9/17 18:19,47.6
2018/9/17 18:19,47.6
2018/9/17 18:19,47.6
2018/9/17 18:19,47.6
2018/9/17 18:19,47.6
2018/9/17 18:19,47.6
2018/9/17 18:19,47.6
2018/9/17 18:19,47.6
2018/9/17 18:19,47.6
2018/9/17 18:19,47.6
2018/9/17 18:19,47.6
2018/9/17 18:19,47.2
2018/9/17 18:19,47.2
2018/9/17 18:19,47.2
2018/9/17 18:19,47.2
2018/9/17 18:19,47.6
2018/9/17 18:19,47.6
2018/9/17 18:19,47.6
2018/9/17 18:19,47.6
2018/9/17 18:19,47.6
2018/9/17 18:19,47.6
2018/9/17 18:19,47.6
2018/9/17 18:19,47.6
2018/9/17 18:19,47.6
2018/9/17 18:19,47.6
2018/9/17 18:19,47.6
2018/9/17 18:19,45.2
2018/9/17 18:19,45.2
2018/9/17 18:19,45.2
2018/9/17 18:19,45.2
2018/9/17 18:19,45.2
2018/9/17 18:19,45.2
2018/9/17 18:19,45.6
2018/9/17 18:19,45.6
2018/9/17 18:19,45.6
2018/9/17 18:19,45.6
2018/9/17 18:19,45.6
2018/9/17 18:19,45.6
2018/9/17 18:19,45.6
2018/9/17 18:19,46.8
2018/9/17 18:19,46.8
2018/9/17 18:19,46.8
2018/9/17 18:19,46.4
2018/9/17 18:19,46
2018/9/17 18:19,46
2018/9/17 18:19,46
2018/9/17 18:19,46
2018/9/17 18:19,46
2018/9/17 18:19,46
2018/9/17 18:19,46
